nohup: ignoring input
/usr/local/lib/python3.10/dist-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
Generating 3000000 trajectories...
Progress: 5000/3000000 (Elapsed: 43.92s)
Progress: 10000/3000000 (Elapsed: 88.58s)
Progress: 15000/3000000 (Elapsed: 133.25s)
Progress: 20000/3000000 (Elapsed: 177.86s)
Progress: 25000/3000000 (Elapsed: 223.70s)
Progress: 30000/3000000 (Elapsed: 270.26s)
Progress: 35000/3000000 (Elapsed: 314.61s)
Progress: 40000/3000000 (Elapsed: 359.82s)
Progress: 45000/3000000 (Elapsed: 404.57s)
Progress: 50000/3000000 (Elapsed: 448.09s)
Progress: 55000/3000000 (Elapsed: 492.07s)
Progress: 60000/3000000 (Elapsed: 536.59s)
Progress: 65000/3000000 (Elapsed: 581.98s)
Progress: 70000/3000000 (Elapsed: 628.37s)
Progress: 75000/3000000 (Elapsed: 672.56s)
Progress: 80000/3000000 (Elapsed: 717.77s)
Progress: 85000/3000000 (Elapsed: 762.53s)
Progress: 90000/3000000 (Elapsed: 807.13s)
Progress: 95000/3000000 (Elapsed: 850.42s)
Progress: 100000/3000000 (Elapsed: 893.35s)
Progress: 105000/3000000 (Elapsed: 937.01s)
Progress: 110000/3000000 (Elapsed: 980.80s)
Progress: 115000/3000000 (Elapsed: 1025.35s)
Progress: 120000/3000000 (Elapsed: 1069.34s)
Progress: 125000/3000000 (Elapsed: 1112.54s)
Progress: 130000/3000000 (Elapsed: 1157.32s)
Progress: 135000/3000000 (Elapsed: 1200.56s)
Progress: 140000/3000000 (Elapsed: 1243.44s)
Progress: 145000/3000000 (Elapsed: 1286.29s)
Progress: 150000/3000000 (Elapsed: 1330.31s)
Progress: 155000/3000000 (Elapsed: 1374.05s)
Progress: 160000/3000000 (Elapsed: 1418.20s)
Progress: 165000/3000000 (Elapsed: 1461.99s)
Progress: 170000/3000000 (Elapsed: 1506.29s)
Progress: 175000/3000000 (Elapsed: 1549.93s)
Progress: 180000/3000000 (Elapsed: 1592.51s)
Progress: 185000/3000000 (Elapsed: 1635.67s)
Progress: 190000/3000000 (Elapsed: 1680.29s)
Progress: 195000/3000000 (Elapsed: 1723.63s)
Progress: 200000/3000000 (Elapsed: 1767.78s)
